Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Invincible Battle Form,Super Vegeta/Super Trunks,120/140,15,UR,Super STR,11766,"[""Boost Category"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Confident Announcement,,"[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Soul vs Soul Lv 1: Weakens enemy's Regeneration; Ki +1Lv 10: Weakens enemy's Regeneration; Ki +2 and ATK & DEF +5%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Pure Saiyans"", ""Full Power"", ""Vegeta's Family"", ""Super Saiyans"", ""Worthy Rivals"", ""Androids/Cell Saga"", ""Bond of Master and Disciple"", ""Rapid Growth"", ""Gifted Warriors"", ""Heavenly Events"", ""Attained Evolution""]","[""1713"", ""5656"", ""7256"", ""9656""]","[""2013"", ""6640"", ""8240"", ""10640""]","[""1044"", ""3446"", ""5046"", ""7446""]",41767,"""Vegeta's Family"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>STR Type Ki +3 and HP, ATK & DEF +50%",Final Burst Cannon (Extreme),Raises ATK & DEF[2] and causes supreme damage to enemy,Ki +2 and ATK & DEF +90% at start of turn; weakens Regeneration[3],"[""6133"", ""6610"", ""7087"", ""7564"", ""9164"", ""11564""]","[""7199"", ""7759"", ""8319"", ""8879"", ""10479"", ""12879""]","[""3736"", ""4027"", ""4317"", ""4608"", ""6208"", ""8608""]",Exchange,,Exchange with Super Trunks; Can be activated starting from the 3rd turn from start of battle (once only),,,,,,,,Exchange,,,,,,
Invincible Battle Form,Super Trunks,120/140,15,UR,Super STR,41767,"[""Boost Category"", ""Debuff"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Enlarged Muscles,,"[""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Soul vs Soul Lv 1: Weakens enemy's Regeneration; Ki +1Lv 10: Weakens enemy's Regeneration; Ki +2 and ATK & DEF +5%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Pure Saiyans"", ""Full Power"", ""Vegeta's Family"", ""Super Saiyans"", ""Worthy Rivals"", ""Androids/Cell Saga"", ""Bond of Master and Disciple"", ""Rapid Growth"", ""Gifted Warriors"", ""Heavenly Events"", ""Attained Evolution""]","[""1713"", ""5656"", ""7256"", ""9656""]","[""2013"", ""6640"", ""8240"", ""10640""]","[""1044"", ""3446"", ""5046"", ""7446""]",,"""Vegeta's Family"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>STR Type Ki +3 and HP, ATK & DEF +50%",Buster Cannon (Extreme),"Raises ATK & DEF for 1 turn[2], causes supreme damage to enemy and greatly lowers DEF[3]",Ki +7 and ATK & DEF +140% at start of turn; Ki -1 (no more than -6) and ATK & DEF -10% (no more than -90%) with each turn passed; weakens Regeneration[4],"[""6133"", ""6610"", ""7087"", ""7564"", ""9164"", ""11564""]","[""7199"", ""7759"", ""8319"", ""8879"", ""10479"", ""12879""]","[""3736"", ""4027"", ""4317"", ""4608"", ""6208"", ""8608""]",,,,,,,,,,,,,,,,,
Shocking Contact,Android #18,120/140,15,UR,Extreme STR,11768,"[""Additional Attack"", ""Boost All"", ""Boost Category"", ""Boost Type"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Contact with Ease,,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Twin Terrors Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of evading enemy's attack (including Super Attack) +5%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Infinite Energy Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of performing a critical hit +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Peppy Gals"", ""Androids"", ""Siblings' Bond"", ""Androids/Cell Saga"", ""Target: Goku"", ""Battle of Wits""]","[""2960"", ""9766"", ""10966"", ""12766""]","[""2384"", ""7872"", ""9072"", ""11112""]","[""1307"", ""4314"", ""5514"", ""7074""]",,"""Androids"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>STR Type Ki +3 and HP, ATK & DEF +50%",Sadistic 18 (Extreme),Causes supreme damage to enemy and lowers ATK & DEF[2],"ATK & DEF +18% per ""Androids"" Category ally on the team (up to 126%); plus an additional ATK & DEF +18% with each attack performed (up to 54%); all allies' Ki +2 and ATK & DEF +18%; ""Androids"" Category allies' Ki +1 and ATK & DEF +18%; medium chance[3] of launching an additional Super Attack when there is another ""Androids"" Category ally attacking in the same turn","[""10589"", ""11412"", ""12236"", ""13059"", ""14259"", ""16059""]","[""8535"", ""9200"", ""9864"", ""10528"", ""11728"", ""13768""]","[""4678"", ""5041"", ""5405"", ""5769"", ""6969"", ""8529""]",,,,,,,,,,,,,,,,,
Princess Oto's Scorn,Oceanus Shenron (Princess Oto),120,10,UR,Extreme INT,11770,"[""Additional Attack"", ""Attack Effective to All"", ""Boost Category"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack"", ""Stun""]","""Shadow Dragon Saga"" Category Ki +3 and HP, ATK & DEF +120%",Whirlwind Spin,"Raises DEF for 1 turn[1], causes supreme damage to enemy and seals Super Attack",High-Speed Rotation,"Ki +3 and ATK & DEF +120%; plus an additional ATK & DEF +60% and launches an additional Super Attack when the target enemy is in ""ATK Down"" or ""DEF Down"" status; attacks effective against all Types and high chance[2] of stunning the attacked enemy when the target enemy's Super Attack is sealed","[""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Metamorphosis Lv 1: Recovers 5% HPLv 10: Recovers 5% HP and ATK & DEF +10%"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""Shadow Dragons Lv 1: ATK +15%Lv 10: ATK & DEF +20%"", ""Speedy Retribution Lv 1: ATK +10%Lv 10: ATK +15% and chance of evading enemy's attack (including Super Attack) +5%"", ""GT Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Shadow Dragon Saga"", ""Peppy Gals"", ""GT Bosses""]","[""2063"", ""6808"", ""8808"", ""11808""]","[""2585"", ""8533"", ""10533"", ""13533""]","[""1601"", ""5285"", ""7285"", ""10285""]",,,,,,,,,,,,,,,,,,,,,,,,,
Unwavering Will and Newfound Power,Super Saiyan Goku,120/140,15,UR,Super INT,11772,"[""Boost Category"", ""Boost Type"", ""Counterattack"", ""Critical Hit"", ""Damage Reduction"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense"", ""Stun""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Learning Received on Planet Yardrat,,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Experienced Fighters Lv 1: ATK +10%Lv 10: ATK +15%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Pure Saiyans"", ""Goku's Family"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Kamehameha"", ""Turtle School""]","[""2186"", ""7214"", ""8414"", ""10214""]","[""2296"", ""7581"", ""8781"", ""10581""]","[""1204"", ""3974"", ""5174"", ""6974""]",,"""Androids-Cell Saga"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>INT Type Ki +3 and HP, ATK & DEF +50%",Instant Transmission Kamehameha (Extreme),Raises ATK & DEF for 1 turn[2] and causes supreme damage with a medium chance of stunning the enemy[1],ATK & DEF +59%; plus an additional ATK & DEF +59% when performing a Super Attack; ATK & DEF +20% (up to 59%) and chance of performing a critical hit +7% (up to 21%) within the same turn with each attack performed; high chance[3] of evading enemy's attack (including Super Attack) as the 1st attacker in a turn; damage received from normal attacks -59% and counters with enormous power as the 2nd or 3rd attacker in a turn,"[""7822"", ""8430"", ""9039"", ""9647"", ""10847"", ""12647""]","[""8220"", ""8859"", ""9499"", ""10139"", ""11339"", ""13139""]","[""4309"", ""4644"", ""4979"", ""5314"", ""6514"", ""8314""]",,,,,,,,,,,,,,,,,
Answers Found in Training,Super Saiyan Goku/Super Saiyan Gohan (Youth),120/140,15,UR,Super TEQ,11774,"[""Boost Category"", ""Boost Type"", ""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,New Discoveries,,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Pure Saiyans"", ""Goku's Family"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Rapid Growth"", ""Turtle School"", ""Heavenly Events""]","[""1659"", ""5472"", ""7072"", ""9472""]","[""2064"", ""6812"", ""8412"", ""10812""]","[""1006"", ""3323"", ""4923"", ""7323""]",41775,"""Goku's Family"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>TEQ Type Ki +3 and HP, ATK & DEF +50%",Kamehameha (Extreme),"Raises DEF[1], causes supreme damage to enemy and lowers ATK[2]","ATK & DEF +50% at start of turn; ""Goku's Family"" Category allies' Ki +2 and ATK & DEF +30%","[""5933"", ""6394"", ""6856"", ""7317"", ""8917"", ""11317""]","[""7386"", ""7961"", ""8535"", ""9110"", ""10710"", ""13110""]","[""3603"", ""3883"", ""4164"", ""4444"", ""6044"", ""8444""]",Exchange,,Exchange with Super Saiyan Gohan (Youth); Can be activated starting from the 3rd turn from start of battle (once only),,,,,,,,Exchange,,,,,,
Answers Found in Training,Super Saiyan Gohan (Youth),120/140,15,UR,Super TEQ,41775,"[""Additional Attack"", ""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Critical Hit"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,New Signpost,,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Pure Saiyans"", ""Goku's Family"", ""Super Saiyans"", ""Androids/Cell Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Rapid Growth"", ""Turtle School"", ""Heavenly Events""]","[""1659"", ""5472"", ""7072"", ""9472""]","[""2064"", ""6812"", ""8412"", ""10812""]","[""1006"", ""3323"", ""4923"", ""7323""]",,"""Goku's Family"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>TEQ Type Ki +3 and HP, ATK & DEF +50%",Wild Rush Blaster (Extreme),"Raises ATK & DEF for 1 turn[2], causes supreme damage to enemy and lowers ATK & DEF[3]","Ki +3 and ATK & DEF +90% at start of turn; plus an additional ATK & DEF +50%, launches 2 additional attacks and high chance[4] of performing a critical hit when there is an ""Androids-Cell Saga"" Category enemy","[""5933"", ""6394"", ""6856"", ""7317"", ""8917"", ""11317""]","[""7386"", ""7961"", ""8535"", ""9110"", ""10710"", ""13110""]","[""3603"", ""3883"", ""4164"", ""4444"", ""6044"", ""8444""]",,,,,,,,,,,,,,,,,
Invincible Demon King,Demon King Piccolo (Elder),120,10,UR,Extreme TEQ,11777,"[""Boost Category"", ""Change Ki Spheres"", ""Damage Reduction"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)""]","""Terrifying Conquerors"" Category Ki +2 and HP, ATK & DEF +100%",Magekisen,Raises DEF for 1 turn[1] and causes supreme damage to enemy,Horror of the Demon King,ATK +5000 per TEQ Ki Sphere obtained; reduces damage received by 40% with 5 or more Ki Spheres obtained; randomly changes Ki Spheres of a certain Type (TEQ excluded) to TEQ Ki Spheres,"[""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Demonic Ways Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Resurrected Warriors"", ""Namekians"", ""Dragon Ball Seekers"", ""Time Travelers"", ""DB Saga"", ""Terrifying Conquerors"", ""Gifted Warriors"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]","[""2111"", ""6969"", ""8969"", ""11569""]","[""2625"", ""8664"", ""10664"", ""14064""]","[""1574"", ""5195"", ""7195"", ""10195""]",,,,,,,,,,,,,,,,,,,,,,,,,
Overwhelming Power Restored,Demon King Piccolo (Elder),150,20,LR,Extreme TEQ,11778,"[""Boost Category"", ""Change Ki Spheres"", ""Damage Reduction"", ""Diverse Super Attack"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Transformation""]","""Terrifying Conquerors"" Category Ki +3 and HP, ATK & DEF +120%",Magekisen,Raises DEF for 1 turn[1] and causes colossal damage to enemy,Great Wish,ATK +6000 per TEQ Ki Sphere obtained; reduces damage received by 50% with 5 or more Ki Spheres obtained; randomly changes Ki Spheres of a certain Type (TEQ excluded) to TEQ Ki Spheres; restores youth using the Dragon Balls' power when conditions are met,"[""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Demonic Ways Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Legendary Power Lv 1: ATK +10% when performing a Super AttackLv 10: ATK +15% when performing a Super Attack""]","[""Resurrected Warriors"", ""Namekians"", ""Full Power"", ""Dragon Ball Seekers"", ""Time Travelers"", ""DB Saga"", ""Terrifying Conquerors"", ""Gifted Warriors"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]","[""3902"", ""12878"", ""14878"", ""17478""]","[""4203"", ""13870"", ""15870"", ""19270""]","[""2890"", ""9537"", ""11537"", ""14537""]",41779,,,,,,,,Rejuvenation,"Restores youth using the power of the Dragon Balls starting from the 7th turn from the start of battle, or when there is a ""DB Saga"", ""World Tournament"" or ""Dragon Ball Seekers"" Category enemy",,,, Makosen,Greatly raises DEF for 1 turn[2] and causes mega-colossal damage to enemy,,,,,,,,,,
Overwhelming Power Restored,Demon King Piccolo,150,20,LR,Extreme TEQ,41779,"[""Boost Category"", ""Change Ki Spheres"", ""Damage Reduction"", ""Diverse Super Attack"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)""]","""Terrifying Conquerors"" Category Ki +3 and HP, ATK & DEF +120%",Explosive Magekisen,Raises ATK & DEF for 1 turn[1] and causes colossal damage to enemy,Feeling of Boundless Power,ATK +6666 per Ki Sphere obtained; reduces damage received by 66% for 5 turns from start of turn; reduces damage received by 50% with 5 or more Ki Spheres obtained starting from the 6th turn; randomly changes Ki Spheres of a certain Type (TEQ excluded) to TEQ Ki Spheres,"[""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Thirst for Conquest Lv 1: ATK +15%Lv 10: ATK & DEF +15%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%"", ""Nightmare Lv 1: ATK +10%Lv 10: ATK +15%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Legendary Power Lv 1: ATK +10% when performing a Super AttackLv 10: ATK +15% when performing a Super Attack""]","[""Resurrected Warriors"", ""Namekians"", ""Full Power"", ""Dragon Ball Seekers"", ""Time Travelers"", ""DB Saga"", ""Terrifying Conquerors"", ""Gifted Warriors"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]","[""3902"", ""12878"", ""14878"", ""17478""]","[""4203"", ""13870"", ""15870"", ""19270""]","[""2890"", ""9537"", ""11537"", ""14537""]",,,,,,,,,,,,,, Explosive Demon Light Cannon,Greatly raises ATK & DEF for 1 turn[2] and causes mega-colossal damage to enemy,,,,,,,,,,
Keen Bloodlust,Cyborg Tao,120,10,UR,Extreme TEQ,11780,"[""Boost Type"", ""Guaranteed Hit"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense"", ""Stun""]","TEQ Type Ki +2 and HP, ATK & DEF +70%",Super Dodon Ray,Raises ATK for 1 turn[1] and causes supreme damage with a medium chance of stunning the enemy[2],Precise Measurement,ATK & DEF +120% and attack guaranteed to hit when performing a Super Attack; ATK & DEF +20% with each attack received (up to 80%),"[""Crane School Lv 1: ATK +15%Lv 10: ATK +20%"", ""Supreme Warrior Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%"", ""Coward Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%"", ""Revival Lv 1: Ki +2Lv 10: Ki +2; ATK & DEF +5% and recovers 5% HP when HP is 50% or less"", ""Dodon Ray Lv 1: ATK +10% when performing a Super AttackLv 10: ATK +15% when performing a Super Attack"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""World Tournament"", ""Resurrected Warriors"", ""Siblings' Bond"", ""Revenge"", ""Earthlings"", ""Sworn Enemies""]","[""2133"", ""7040"", ""8240"", ""9800""]","[""2482"", ""8192"", ""9392"", ""11432""]","[""1322"", ""4365"", ""5565"", ""7365""]",,,,,,,,,,,,,,,,,,,,,,,,,
Technique and Inspiration,Krillin,120,10,UR,Super INT,11782,"[""Additional Attack"", ""Boost Category"", ""Category Matchup"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense"", ""Stun""]","""Androids-Cell Saga"" Category Ki +3 and HP, ATK & DEF +120%",Solar Flare,Raises DEF[1] and causes supreme damage with a high chance of stunning the enemy[2],In One's Capabilities,"ATK & DEF +80%; plus an additional ATK & DEF +7% per ""Androids-Cell Saga"" Category ally on the team; Ki +4 as the 1st attacker in a turn; Ki +2 as the 2nd attacker in a turn; launches an additional Super Attack when there is an ""Androids"" Category enemy","[""Experienced Fighters Lv 1: ATK +10%Lv 10: ATK +15%"", ""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Androids/Cell Saga"", ""Earthlings"", ""Battle of Wits"", ""Turtle School""]","[""2107"", ""6956"", ""8156"", ""9956""]","[""2077"", ""6851"", ""8051"", ""9851""]","[""1506"", ""4969"", ""6169"", ""7969""]",,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Defiance,Android #18,120,10,UR,Extreme AGL,11784,"[""Boost Category"", ""Critical Hit"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","""Siblings' Bond"" Category Ki +3 and HP, ATK & DEF +120%",Aerial Crash,Raises ATK[1] and causes supreme damage to enemy,The Chosen Path,"ATK & DEF +100%; chance of evading enemy's attack (including Super Attack) +18%; chance of performing a critical hit +18%; plus an additional ATK & DEF +80%, chance of evading enemy's attack (including Super Attack) +18% and chance of performing a critical hit +18% when your team has ""Android 16 (disambiguation)"" or ""Android 17 (disambiguation)"" attacking in the same turn","[""Infinite Energy Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of performing a critical hit +5%"", ""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Twin Terrors Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of evading enemy's attack (including Super Attack) +5%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Organic Upgrade Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of performing a critical hit +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Peppy Gals"", ""Androids"", ""Siblings' Bond"", ""Androids/Cell Saga"", ""Target: Goku"", ""Battle of Wits""]","[""2554"", ""8430"", ""9630"", ""11190""]","[""2191"", ""7224"", ""8424"", ""10224""]","[""1140"", ""3767"", ""4967"", ""7007""]",,,,,,,,,,,,,,,,,,,,,,,,,
