Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Secret Behind the Sneezes,Launch,120,10-Jan,UR,Super PHY,11625,"[""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Evasion"", ""Raise Ki"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack""]","""Peppy Gals"" Category Ki +3 and HP, ATK & DEF +120%",Meteor Shower Assault,Causes supreme damage with a medium chance of stunning the enemy[1],Saiyan's Vow and Resolve,"ATK & DEF +150%; Ki +3, plus an additional ATK & DEF +150% and high chance[2] of evading enemy's attack (including Super Attack) for 7 turns from start of turn","[""Peppy Gals"", ""Transformation Boost"", ""DB Saga"", ""Earthlings""]","[""2231"", ""7364"", ""9364"", ""12764""]","[""2675"", ""8828"", ""10828"", ""13828""]","[""1403"", ""4630"", ""6630"", ""9230""]",,,,,,,,,,,,,,,,,,,,,,,,,
Secret Behind the Sneezes,Launch,120,10-Jan,UR,Super PHY,41760,"[""Boost Category"", ""Diverse Super Attack"", ""Lower ATK"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Transformation""]","""Peppy Gals"" Category Ki +3 and HP, ATK & DEF +120%",Giant Storm,Causes supreme damage to all enemies,One Last Gamble,ATK & DEF +70%; Ki +3 when HP is 78% or more; plus an additional ATK & DEF +7000 at start of turn per existing enemy,"[""Peppy Gals"", ""Transformation Boost"", ""DB Saga"", ""Earthlings""]","[""2231"", ""7364"", ""9364"", ""12764""]","[""2675"", ""8828"", ""10828"", ""13828""]","[""1403"", ""4630"", ""6630"", ""9230""]",,,,,,,,,,,,,,,,,,,,,,,,,
Grand Tour Companion,Giru,120/140,15-Jan,UR,Super INT,11630,"[""Change Ki Spheres"", ""Diverse Super Attack"", ""Lower ATK"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Recovery"", ""Transformation""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Giant Storm,Raises ATK & DEF for 1 turn[1] and causes colossal damage to all enemies,Miraculous Call,ATK & DEF +78%; Ki +5 when HP is 78% or more; plus an additional ATK +78% within the same turn after evading an attack (including Super Attack); plus an additional ATK & DEF +7800 at start of turn per existing enemy; Exchanges with Vegeta when conditions are met,"[""Dragon Ball Seekers"", ""Artificial Life Forms"", ""Space-Traveling Warriors"", ""GT Heroes""]","[""1691"", ""5636"", ""7236"", ""9636""]","[""1993"", ""6637"", ""8237"", ""10637""]","[""991"", ""3309"", ""4909"", ""7309""]",,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Majin Power,Uub (Teen),150,20-Jan,LR,Super TEQ,11631,"[""Boost Category"", ""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +100%",Slash Swing,"Raises ATK & DEF for 1 turn[1], causes colossal damage to enemy and lowers ATK[2]",Difference Resulting from Training,Recovers 50% HP (once only); Ki +3 and ATK & DEF +100%; plus an additional Ki +3 and ATK & DEF +18% when facing only 1 enemy; plus an additional Ki +3 and ATK & DEF +18% when attacking Super_Class enemies; attacks effective against all Types when Ki is 24,"[""Resurrected Warriors"", ""Transformation Boost"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Earthlings"", ""Majin Power"", ""Saviors"", ""Connected Hope"", ""GT Heroes""]","[""5133"", ""17112"", ""19112"", ""21712""]","[""3589"", ""11965"", ""13965"", ""17365""]","[""1961"", ""6538"", ""8538"", ""11538""]",,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Majin Power,Majuub,150,20-Jan,LR,Super TEQ,41632,"[""Boost Category"", ""Boost Type"", ""Diverse Super Attack"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","""Resurrected Warriors"" Category Ki +3 and HP, ATK & DEF +100%",Triple Kamehameha,Causes supreme damage to enemy; raises allies' ATK by 30% for 1 turn,The Terrifying Strength of Full Power,"ATK +120%; reduces damage received by 40%; plus an additional ATK +70% and an additional damage reduction of 30% when performing a Super Attack if there is an ally whose name includes ""Trunks (disambiguation)"" or ""Krillin (disambiguation)"" (Youth excluded) attacking in the same turn","[""Resurrected Warriors"", ""Transformation Boost"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Earthlings"", ""Majin Power"", ""Saviors"", ""Connected Hope"", ""GT Heroes""]","[""5133"", ""17112"", ""19112"", ""21712""]","[""3589"", ""11965"", ""13965"", ""17365""]","[""1961"", ""6538"", ""8538"", ""11538""]",,,,,,,,,,,,,,,,,,,,,,,,,
Epic Clashes on Unknown Planets,Goku (GT) & Pan (GT) & Trunks (GT),120,10-Jan,UR,Super INT,11636,"[""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Lower ATK"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Dragon Ball Seekers"" Category Ki +3 and HP, ATK & DEF +150%; <br/>or<br/> Super_INT Type Ki +3 and HP, ATK & DEF +90%",Triple Kamehameha,Causes supreme damage to enemy; raises allies' ATK by 30% for 1 turn,Life-risking Resolve,"ATK +120%; reduces damage received by 40%; plus an additional ATK +70% and an additional damage reduction of 30% when performing a Super Attack if there is an ally whose name includes ""Goten (disambiguation)"" or ""Krillin (disambiguation)"" (Youth excluded) attacking in the same turn","[""Dragon Ball Seekers"", ""Joined Forces"", ""Space-Traveling Warriors"", ""GT Heroes""]","[""2610"", ""8613"", ""10613"", ""13613""]","[""2979"", ""9833"", ""11833"", ""14833""]","[""1429"", ""4716"", ""6716"", ""9716""]",,,,,,,,,,,,,,,,,,,,,,,,,
Endless Adventure,Goku (GT) & Pan (GT) & Trunks (GT),150,20-Jan,LR,Super INT,11637,"[""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Diverse Super Attack"", ""Giant Form (Skill Effect)"", ""Lower ATK"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Dragon Ball Seekers"" Category Ki +4 and HP, ATK & DEF +170%;<br/>or<br/>Super_INT Type Ki +4 and HP, ATK & DEF +100%",Justice Eagle,Causes supreme damage to enemy and lowers ATK[1],Divergence of Evil and Hatred,"ATK & DEF +80% and medium chance[2] of evading enemy's attack (including Super Attack); attacked enemy's ATK -20% for 2 turns; ""Special Pose"" Category allies' Ki +2 and ATK & DEF +30%","[""Dragon Ball Seekers"", ""Joined Forces"", ""Space-Traveling Warriors"", ""GT Heroes""]","[""4992"", ""16475"", ""18475"", ""21475""]","[""4989"", ""16465"", ""18465"", ""21465""]","[""2668"", ""8806"", ""10806"", ""13806""]",,,,,,,,,,,,,,,,,,,,,,,,,
Tuffle Power Evolved,Super Baby 1,120,10-Jan,UR,Extreme AGL,11639,"[""Diverse Super Attack"", ""Giant Form (Skill Effect)"", ""Raise Ki (Ki Sphere)""]","""Artificial Life Forms"" Category Ki +3 and HP, ATK & DEF +100%;<br/>or<br/>Extreme_AGL Type Ki +3 and HP, ATK & DEF +90%",Justice Rush,Raises ATK & DEF for 1 turn[1] and causes supreme damage to enemy,Evolving for Conquest,"Ki +2 and ATK & DEF +100%; plus an additional ATK & DEF +30% when performing a Super Attack; ATK +10% and chance of performing a critical hit +5% per ""Special Pose"" Category ally on the team","[""Transformation Boost"", ""Artificial Life Forms"", ""Terrifying Conquerors"", ""Target: Goku"", ""Revenge"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Corroded Body and Mind"", ""GT Bosses""]","[""3028"", ""9994"", ""11994"", ""14594""]","[""2940"", ""9705"", ""11705"", ""14705""]","[""1267"", ""4184"", ""6184"", ""9584""]",,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Malign Being,Super Baby 2 (Giant Ape),150,20-Jan,LR,Extreme AGL,11640,"[""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)""]","""Artificial Life Forms"" Category Ki +4 and HP, ATK & DEF +130%;<br/>or<br/>Extreme_AGL Type Ki +4 and HP, ATK & DEF +100%",Scattering Energy Wave,Raises ATK[1] and causes supreme damage to all enemies,Instantaneous Decision,Ki +2 and DEF +20000; ATK +15000 when performing a Super Attack; ATK +7000 at start of turn per existing enemy when facing 2 or more enemies (count starts from the 2nd enemy),"[""Giant Form"", ""Transformation Boost"", ""Artificial Life Forms"", ""Terrifying Conquerors"", ""Target: Goku"", ""Final Trump Card"", ""Revenge"", ""Inhuman Deeds"", ""Giant Ape Power"", ""Space-Traveling Warriors"", ""Corroded Body and Mind"", ""GT Bosses""]","[""5829"", ""19238"", ""21238"", ""23838""]","[""4912"", ""16210"", ""18210"", ""21210""]","[""2346"", ""7744"", ""9744"", ""13144""]",,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Malign Being,Super Baby 2 (Giant Ape),150,20-Jan,LR,Extreme AGL,41640,"[""Boost All"", ""Critical Hit"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","""Artificial Life Forms"" Category Ki +4 and HP, ATK & DEF +130%;<br/>or<br/>Extreme_AGL Type Ki +4 and HP, ATK & DEF +100%",Scattering Energy Wave,Raises ATK[1] and causes colossal damage to all enemies with a medium chance of stunning them[2],Visit of Darkness,"Ki +3 and DEF +30000; ATK +20000 when performing a Super Attack, plus an additional ATK +20000 if it is an Ultra Super Attack; plus an additional Ki +3 when facing only 1 enemy; ATK +10000 at start of turn per existing enemy when facing 2 or more enemies (count starts from the 2nd enemy), and launches an additional Super Attack when facing 6 or more enemies","[""Giant Form"", ""Transformation Boost"", ""Artificial Life Forms"", ""Terrifying Conquerors"", ""Target: Goku"", ""Final Trump Card"", ""Revenge"", ""Inhuman Deeds"", ""Giant Ape Power"", ""Space-Traveling Warriors"", ""Corroded Body and Mind"", ""GT Bosses""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""50000"", ""60000"", ""62000"", ""65000""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]",,,,,,,,,,,,,,,,,,,,,,,,,
Confidence-Imbuing Moment,Super Saiyan Trunks (GT),120,10-Jan,UR,Super AGL,11644,"[""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Critical Hit"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","AGL, TEQ and PHY Type Ki +3 and HP, ATK & DEF +70%",Kamehameha,Greatly raises ATK for 1 turn[1] and causes immense damage to enemy,Full Power Unleashed,Ki +1 and ATK +100%; reduces damage received by 40%; Exchanges with Majin Buu (Pure Evil) when conditions are met,"[""Hybrid Saiyans"", ""Dragon Ball Seekers"", ""Vegeta's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Battle of Wits"", ""Space-Traveling Warriors"", ""GT Heroes""]","[""2859"", ""9435"", ""11435"", ""14035""]","[""2399"", ""7918"", ""9918"", ""12918""]","[""1490"", ""4920"", ""6920"", ""10320""]",,,,,,,,,,,,,,,,,,,,,,,,,
Dynamic Flash,Super Saiyan 2 Goku (GT),120,10-Jan,UR,Super PHY,11645,"[""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Critical Hit"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","All Types Ki +2 and HP, ATK & DEF +70%",Guilty Flash,"Greatly raises ATK for 1 turn,[1] causes immense damage to enemy and seals Super Attack",Expanding Magic,Ki +2 and ATK +150%; reduces damage received by 40%; high chance[2] of stunning the attacked enemy; medium chance[3] of evading enemy's attack (including Super Attack),"[""Pure Saiyans"", ""Goku's Family"", ""Super Saiyan 2"", ""Turtle School"", ""GT Heroes""]","[""2687"", ""8868"", ""10868"", ""14268""]","[""2548"", ""8409"", ""10409"", ""13409""]","[""1390"", ""4590"", ""6590"", ""9190""]",,,,,,,,,,,,,,,,,,,,,,,,,
Potent Super Attack,Goku (Kaioken),120/140,15-Jan,UR,Super TEQ,11646,"[""Boost All"", ""Boost Category"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Stack Defense"", ""Transformation""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Ill Flash,"Greatly raises ATK & DEF for 3 turns,[1] causes immense damage to enemy and seals Super Attack",Secret Power Dormant in the Heart,Ki +3 and ATK +220%; reduces damage received by 50%; chance of performing a critical hit +12% per Rainbow Ki Ki Sphere obtained,"[""Pure Saiyans"", ""Full Power"", ""Goku's Family"", ""Kamehameha"", ""Final Trump Card"", ""All-Out Struggle"", ""Turtle School""]","[""2029"", ""6697"", ""8697"", ""11297""]","[""2742"", ""9051"", ""11051"", ""14451""]","[""1476"", ""4873"", ""6873"", ""9873""]",,,,,,,,,,,,,,,,,,,,,,,,,
Explosive Super Elite,Vegeta,120/140,15-Jan,UR,Extreme PHY,11649,"[""Boost All"", ""Boost Category"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Stack Defense"", ""Transformation""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Victory Flash,Greatly raises DEF for 1 turn[1] and causes immense damage to enemy,Super Duper Miraculous Technique,Ki +1 and ATK & DEF +100%; Transforms when conditions are met,"[""Pure Saiyans"", ""Dragon Ball Seekers"", ""Vegeta's Family"", ""Terrifying Conquerors"", ""Inhuman Deeds"", ""Space-Traveling Warriors"", ""Gifted Warriors"", ""Planetary Destruction""]","[""2544"", ""8396"", ""10396"", ""13796""]","[""2628"", ""8673"", ""10673"", ""13673""]","[""1362"", ""4495"", ""6495"", ""9095""]",,,,,,,,,,,,,,,,,,,,,,,,,
Limitless Combat Power,Super Saiyan Vegeta,120,10-Jan,UR,Super PHY,11651,"[""Boost All"", ""Boost Category"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Stack Defense"", ""Transformation""]","""Pure Saiyans"" Category Ki +3 and HP, ATK & DEF +150%; <br/>or<br/> Super_Class Ki +3 and HP, ATK & DEF +100%",Super Ghost Kamikaze Attack,Greatly raises DEF for 1 turn[1] and causes immense damage with a great chance of stunning the enemy[2],Let's Become Stronger Together!,Ki +2 and ATK & DEF +100%; high chance of ATK +50% and an additional high chance of ATK +50%[3]; high chance of DEF +50% and an additional high chance of DEF +50%[4]; medium chance[5] of launching an additional Super Attack,"[""Realm of Gods"", ""Pure Saiyans"", ""Full Power"", ""Transformation Boost"", ""Vegeta's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Rapid Growth"", ""Gifted Warriors"", ""Heavenly Events"", ""Attained Evolution""]","[""3172"", ""10470"", ""12470"", ""15870""]","[""3646"", ""12032"", ""14032"", ""17032""]","[""1621"", ""5350"", ""7350"", ""9950""]",,,,,,,,,,,,,,,,,,,,,,,,,
Limitless Combat Power,Super Vegeta,120,10-Jan,UR,Super PHY,41652,"[""Boost All"", ""Boost Category"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Stack Defense"", ""Transformation""]","""Pure Saiyans"" Category Ki +3 and HP, ATK & DEF +150%; <br/>or<br/> Super_Class Ki +3 and HP, ATK & DEF +100%",Brain Crush Hammer,Greatly raises ATK & DEF for 3 turns[1] and causes immense damage with a high chance of stunning the enemy[2],Let's Go Even Further Together!,"ATK & DEF +100%, plus an additional ATK +100% when performing a Super Attack; Ki +3 and great chance[3] of launching an additional Super Attack for 4 turns from start of turn","[""Realm of Gods"", ""Pure Saiyans"", ""Full Power"", ""Transformation Boost"", ""Vegeta's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Rapid Growth"", ""Gifted Warriors"", ""Heavenly Events"", ""Attained Evolution""]","[""3172"", ""10470"", ""12470"", ""15870""]","[""3646"", ""12032"", ""14032"", ""17032""]","[""1621"", ""5350"", ""7350"", ""9950""]",,,,,,,,,,,,,,,,,,,,,,,,,
Limitless Combat Power,Super Saiyan 2 Vegeta,120,10-Jan,UR,Super PHY,41653,"[""Boost All"", ""Boost Category"", ""Change Ki Spheres"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)""]","""Pure Saiyans"" Category Ki +3 and HP, ATK & DEF +150%; <br/>or<br/> Super_Class Ki +3 and HP, ATK & DEF +100%",Angelic Induction,Causes supreme damage with a medium chance of stunning the enemy[1],Chaotic Chase,Ki +2 and DEF +100%; plus an additional DEF +20% with each attack performed (up to 100%); high chance[2] of launching an additional Super Attack; fully recovers HP and great chance[3] of evading enemy's attack (including Super Attack) when HP is 30% or less (once only),"[""Realm of Gods"", ""Pure Saiyans"", ""Full Power"", ""Transformation Boost"", ""Vegeta's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Rapid Growth"", ""Gifted Warriors"", ""Heavenly Events"", ""Attained Evolution""]","[""3172"", ""10470"", ""12470"", ""15870""]","[""3646"", ""12032"", ""14032"", ""17032""]","[""1621"", ""5350"", ""7350"", ""9950""]",,,,,,,,,,,,,,,,,,,,,,,,,
Limitless Combat Power,Super Saiyan God Vegeta,120,10-Jan,UR,Super PHY,41654,"[""Boost Category"", ""Critical Hit"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stun""]","""Pure Saiyans"" Category Ki +3 and HP, ATK & DEF +150%; <br/>or<br/> Super_Class Ki +3 and HP, ATK & DEF +100%",Fists of Rage,Causes supreme damage and lowers ATK & DEF[1] with a medium chance of stunning the enemy[2],Devilish Chase,"ATK +150% and guards all attacks for 3 turns after receiving attack; reduces damage received by 8% with each attack received (up to 40%); ATK & DEF +120% when there is a ""Goku's Family"" Category ally on the team","[""Realm of Gods"", ""Pure Saiyans"", ""Full Power"", ""Transformation Boost"", ""Vegeta's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Rapid Growth"", ""Gifted Warriors"", ""Heavenly Events"", ""Attained Evolution""]","[""3172"", ""10470"", ""12470"", ""15870""]","[""3646"", ""12032"", ""14032"", ""17032""]","[""1621"", ""5350"", ""7350"", ""9950""]",,,,,,,,,,,,,,,,,,,,,,,,,
Limitless Combat Power,Super Saiyan God SS Vegeta,120,10-Jan,UR,Super PHY,41655,"[""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Change Ki Spheres"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)""]","""Pure Saiyans"" Category Ki +3 and HP, ATK & DEF +150%; <br/>or<br/> Super_Class Ki +3 and HP, ATK & DEF +100%",Big Bang Attack,Causes supreme damage to enemy and raises allies' ATK by 25% for 1 turn,Devilish Siege,ATK & DEF +120%; Ki +2 plus an additional ATK & DEF +120% and great chance[1] of evading enemy's attack (including Super Attack) as the 1st attacker in a turn; Super Class allies' ATK & DEF +30%,"[""Realm of Gods"", ""Pure Saiyans"", ""Full Power"", ""Transformation Boost"", ""Vegeta's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Rapid Growth"", ""Gifted Warriors"", ""Heavenly Events"", ""Attained Evolution""]","[""3172"", ""10470"", ""12470"", ""15870""]","[""3646"", ""12032"", ""14032"", ""17032""]","[""1621"", ""5350"", ""7350"", ""9950""]",,,,,,,,,,,,,,,,,,,,,,,,,
All-or-nothing Punch,Goku (Youth),120,10-Jan,UR,Super INT,11657,"[""Boost Type"", ""Category Matchup"", ""Critical Hit"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""DB Saga"" Category Ki +3 and HP, ATK & DEF +170%;<br/>or<br/> ""Youth"" Category Ki +3 and HP, ATK & DEF +150%",Leave It to Dad!,Causes colossal damage to enemy and seals Super Attack,Combat Vision,"DEF +59%; ATK +59% when performing a Super Attack, plus an additional ATK +58% if it is an Ultra Super Attack; Ki +5 and recovers 8% HP at the end of turn as the 3rd attacker in a turn","[""Low-Class Warrior"", ""Full Power"", ""Pure Saiyans"", ""Goku's Family"", ""Dragon Ball Seekers"", ""Youth"", ""DB Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Revenge"", ""Rapid Growth"", ""Saviors"", ""Giant Ape Power"", ""Turtle School"", ""Powerful Comeback""]","[""3221"", ""10630"", ""12630"", ""15630""]","[""3298"", ""10884"", ""12884"", ""15884""]","[""1804"", ""5955"", ""7955"", ""10955""]",,,,,,,,,,,,,,,,,,,,,,,,,
Culmination of Hope,Goku (GT),120/140,15-Jan,UR,Super INT,11658,"[""Boost Category"", ""Boost Type"", ""Lower ATK"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Energy Blast,"Raises ATK & DEF[1], causes supreme damage to enemy and lowers DEF[2]",Divine Wisdom,"ATK & DEF +80%; chance of evading enemy's attack (including Super Attack) +8% per ""Universe 6"" or ""Peppy Gals"" Category ally on the team; evades enemy's attack (including Super Attack) when there is a ""Universe Survival Saga"" or ""Pure Saiyans"" Category enemy; launches an additional attack that has a medium chance[3] of becoming a Super Attack when there is an ally whose name includes ""Kale (disambiguation)"" attacking in the same turn","[""Shadow Dragon Saga"", ""Pure Saiyans"", ""Goku's Family"", ""Final Trump Card"", ""Connected Hope"", ""Turtle School"", ""GT Heroes""]","[""1825"", ""6024"", ""7224"", ""9024""]","[""2049"", ""6762"", ""7962"", ""9762""]","[""942"", ""3109"", ""4309"", ""6109""]",,,,,,,,,,,,,,,,,,,,,,,,,
New Power from Training,Super Vegeta,120,10-Jan,UR,Super INT,11661,"[""Boost Category"", ""Boost Type"", ""Critical Hit"", ""Debuff"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Seal Super Attack"", ""Stun""]","INT Type Ki +3 and HP, ATK & DEF +90%",Resist Cannon,"Raises ATK & DEF[1], causes supreme damage to enemy and lowers DEF[2]",Angel's Advice,"ATK & DEF +80%; ATK & DEF +10% per ""Pure Saiyans"" or ""Peppy Gals"" Category ally on the team; launches an additional Super Attack when there is a ""Universe Survival Saga"" or ""Pure Saiyans"" Category enemy; guards all attacks within the turn when there is an ally whose name includes ""Caulifla (disambiguation)"" attacking in the same turn","[""Pure Saiyans"", ""Full Power"", ""Vegeta's Family"", ""Super Saiyans"", ""Worthy Rivals"", ""Androids/Cell Saga"", ""Rapid Growth"", ""Gifted Warriors"", ""Heavenly Events"", ""Attained Evolution""]","[""2417"", ""7977"", ""9977"", ""12977""]","[""2621"", ""8651"", ""10651"", ""13651""]","[""1354"", ""4470"", ""6470"", ""9470""]",,,,,,,,,,,,,,,,,,,,,,,,,
King of the Evil Realm,Demon King Piccolo,120,10-Jan,UR,Extreme STR,11663,"[""Boost Type"", ""Evasion"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery""]","""DB Saga"" Category Ki +3 and HP, ATK & DEF +120%;<br/>or<br/> Extreme_STR Type Ki +3 and HP, ATK & DEF +90%",Gigantic Crash,"Raises ATK[1], causes immense damage to enemy and lowers DEF[2]",Survival Tactics,DEF +100%; ATK +100% when performing a Super Attack; plus an additional ATK +50% and high chance[3] of evading enemy's attack (including Super Attack) with 6 or more Ki Spheres obtained; Transforms when conditions are met,"[""Resurrected Warriors"", ""Namekians"", ""Full Power"", ""DB Saga"", ""Terrifying Conquerors"", ""Gifted Warriors"", ""Storied Figures"", ""Legendary Existence"", ""Sworn Enemies""]","[""3231"", ""10664"", ""12664"", ""15664""]","[""2385"", ""7873"", ""9873"", ""13273""]","[""1242"", ""4099"", ""6099"", ""8699""]",,,,,,,,,,,,,,,,,,,,,,,,,
Mysterious Technique,Master Roshi,120,10-Jan,UR,Super TEQ,11665,"[""Boost Type"", ""Disable Guard"", ""Guard"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Defense""]","""DB Saga"" Category Ki +3 and HP, ATK & DEF +120%;<br/>or<br/>Super_TEQ Type Ki +3 and HP, ATK & DEF +90%",Gigantic Cannonball,"Raises ATK[1], causes immense damage to enemy and greatly lowers DEF[2]",For This World,DEF +150%; ATK +150% when performing a Super Attack; plus an additional ATK +50% and high chance[3] of evading enemy's attack (including Super Attack) with 6 or more Ki Spheres obtained; Transforms when conditions are met,"[""DB Saga"", ""Bond of Master and Disciple"", ""Final Trump Card"", ""Earthlings"", ""All-Out Struggle"", ""Battle of Wits"", ""Connected Hope"", ""Turtle School""]","[""2613"", ""8625"", ""10625"", ""13225""]","[""2015"", ""6650"", ""8650"", ""12050""]","[""2014"", ""6647"", ""8647"", ""11647""]",,,,,,,,,,,,,,,,,,,,,,,,,
